Target,Source
CREB1,PDYN 
CREB1,PENK 
CREB1,PLAT 
CREB1,PMP22 
CREB1,POLD2 
CREB1,POLG2 
CREB1,PPARA 
CREB1,PPARG 
CREB1,PPRC1 
CREB1,PSEN1 
CREB1,PTGS1 
CREB1,PTGS2 
CREB1,PXMP2 
CREB1,RARB 
CREB1,REN 
CREB1,RETN 
CREB1,REV3L 
CREB1,SERPINB2 
CREB1,SLC19A1 
CREB1,SLC20A1 
CREB1,SLC5A5 
CREB1,SLC6A4 
CREB1,SLC9A1 
CREB1,SPATA2 
CREB1,SPRY2 
CREB1,SRM 
CREB1,ST3GAL5 
CREB1,STAT3 
CREB1,TAT 
CREB1,TBP 
CREB1,TF 
CREB1,TFRC 
CREB1,TG 
CREB1,TGFB2 
CREB1,TGFB3 
CREB1,TH 
CREB1,TWF2 
CREB1,THPO 
CREB1,TIMP1 
CREB1,TINAGL1 
CREB1,TNF 
CREB1,TNFRSF8 
CREB1,TOP1 
CREB1,MITF 
CREB1,VIP 
CREB1,TGFB1 
CREB1,SMAD9 
CREB1,POLB 
CREB1,NR4A3 
CREB1,NR4A2 
CREB1,NR3C1 
CREB1,MOG 
CREB1,MCAM 
CREB1,LYN 
CREB1,LDHA 
CREB1,FLT1 
CREB1,ERF 
CREB1,CEBPB 
CREB1,AREG 
CREB1,AQP2 
CREB1,UBE2I 
CREB1,TPO 
CREB1,CIITA 
CREB1,CREBBP 
CREB1,EP300 
CREB1,GSK3B 
CREB1,PRKACA 
CREB1,PRKACB 
CREB1,PRKACG 
CREB1,PRKX 
CREB1,TRH 
CREB1,TSC22D3 
CREB1,TPH1 
CREB1,PTH 
CREB1,VGF 
CREB1,UGT8 
CREB1,UCP1 
CREB1,INHBA 
CREB1,IL6 
CREB1,IL5RA 
CREB1,IL2 
CREB1,IL1B 
CREB1,IL10 
CREB1,IGFBP1 
CREB1,IFNGR1 
CREB1,IFNG 
CREB1,ID2 
CREB1,ICAM1 
CREB1,HTR2A 
CREB1,HPGD 
CREB1,HMOX1 
CREB1,HLA-G 
CREB1,HLA-DRA 
CREB1,HLA-DQB1 
CREB1,HLA-DOB 
CREB1,HFE 
CREB1,GSTP1 
CREB1,GRM5 
CREB1,GNRHR 
CREB1,GNRH1 
CREB1,GH2 
CREB1,GDNF 
CREB1,FOS 
CREB1,FN1 
CREB1,FLII 
CREB1,FLI1 
CREB1,FAS 
CREB1,F3 
CREB1,EXO1 
CREB1,ETV3 
CREB1,ETF1 
CREB1,ERBB2 
CREB1,ELN 
CREB1,EGR1 
CREB1,DRD1 
CREB1,DLD 
CREB1,DIO2 
CREB1,DBH 
CREB1,CYR61 
CREB1,CYP27B1 
CREB1,CYP19A1 
CREB1,CYP11B2 
CREB1,CYP11B1 
CREB1,CYP11A1 
CREB1,CXCR4 
CREB1,CTF1 
CREB1,CPT1A 
CREB1,CIITA 
CREB1,CHGA 
CREB1,CGA 
CREB1,CFTR 
CREB1,CELSR1 
CREB1,CDK5 
CREB1,CDC37 
CREB1,CD8A 
CREB1,CD55 
CREB1,CD4 
CREB1,CCND1 
CREB1,CCNA1 
CREB1,CCL5 
CREB1,CALCA 
CREB1,BST1 
CREB1,BRCA1 
CREB1,BDKRB1 
CREB1,BCL2 
CREB1,BCKDHA 
CREB1,B3GAT3 
CREB1,ATP1A1 
CREB3,PRKACA 
CREB3,AQP2 
CREB3,MITF 
CREB3,EP300 
CREB3,GSK3B 
CREB3,PRKACB 
CREB3,PRKACG 
CREB3,PRKX 
CREB3,CREBBP 
CREB3L1,PRKACG 
CREB3L1,PRKX 
CREB3L1,PRKACB 
CREB3L1,PRKACA 
CREB3L1,GSK3B 
CREB3L1,EP300 
CREB3L1,AQP2 
CREB3L1,MITF 
CREB3L1,CREBBP 
CREB3L2,MITF 
CREB3L2,AQP2 
CREBBP,CREB3L1 
CREBBP,CREB3L2 
CREBBP,CTNNB1 
CREBBP,EPAS1 
CREBBP,HIF1A 
CREBBP,LEF1 
CREBBP,PRKACA 
CREBBP,PRKACB 
CREBBP,PRKACG 
CREBBP,PRKX 
CREBBP,RBPJ 
CREBBP,RBPJL 
CREBBP,SMAD2 
CREBBP,SMAD3 
CREBBP,SMAD4 
CREBBP,STAT1 
CREBBP,STAT2 
CREBBP,STAT3 
CREBBP,STAT4 
CREBBP,STAT5A 
CREBBP,STAT5B 
CREBBP,STAT6 
